pickup_date,pickup_hour,trip_count,PULocationID_mode,DOLocationID_mode,is_weekend_mode,trip_miles_mean,trip_miles_sum,trip_time_mean,trip_time_sum,base_passenger_fare_mean,base_passenger_fare_sum,tolls_mean,tolls_sum,bcf_mean,bcf_sum,sales_tax_mean,sales_tax_sum,congestion_surcharge_mean,congestion_surcharge_sum,tips_mean,tips_sum,driver_pay_mean,driver_pay_sum,PULocationBorough,PULocationZone,DOLocationBorough,DOLocationZone
2024-07-15,22,5911,138,265,False,5.430613094231094,32100.354,1079.4143122991034,6380418,24.923885975300287,147325.09,1.322608695652174,7817.94,0.7090052444594823,4190.93,2.072014887497885,12247.68,1.1291236677381151,6674.25,1.292943664354593,7642.59,18.91642869226865,111815.01,Queens,LaGuardia Airport,,Outside of NYC
2024-07-15,23,5132,138,265,False,5.847713172252533,30010.464,1094.2429851909587,5615655,25.869086126266563,132760.15,1.3871531566640685,7118.87,0.7364438815276695,3779.43,2.0779618082618865,10664.1,1.1017147310989868,5654.0,1.212116134060795,6220.58,19.650697583788,100847.38,Queens,LaGuardia Airport,,Outside of NYC
2024-07-16,0,3815,138,265,False,5.562195806028833,21219.777,1022.622018348624,3901303,24.32927129750983,92816.17,1.1183722149410222,4266.59,0.6895045871559633,2630.46,2.041750982961992,7789.28,1.0134993446920053,3866.5,1.0336251638269986,3943.28,18.3351507208388,69948.6,Queens,LaGuardia Airport,,Outside of NYC
2024-07-16,1,2110,132,265,False,5.439607109004739,11477.571,953.2554502369668,2011369,23.450289099526067,49480.11,1.1669004739336493,2462.16,0.6632274881516588,1399.41,1.92878672985782,4069.74,0.8914691943127963,1881.0,0.9489004739336492,2002.18,17.639127962085308,37218.56,Queens,JFK Airport,,Outside of NYC
2024-07-16,2,1513,132,265,False,5.616797091870456,8498.214,950.855915399868,1438645,23.54251817580965,35619.83,1.3905221414408462,2103.86,0.6742432253800397,1020.13,1.9248446794448115,2912.29,0.8615333773959022,1303.5,0.729272967614012,1103.39,17.927779246530072,27124.73,Queens,JFK Airport,,Outside of NYC
2024-07-16,3,1207,37,132,False,6.08887903893952,7349.277,978.874067937034,1181501,25.14024026512013,30344.27,1.447854183927092,1747.56,0.7256172328086165,875.82,2.068931234465617,2497.2,0.8247721623860812,995.5,1.022460646230323,1234.11,18.84371168185584,22744.36,Brooklyn,Bushwick South,Queens,JFK Airport
2024-07-16,4,2038,61,138,False,6.934108930323847,14131.714,1036.3660451422963,2112114,27.964421000981357,56991.49,1.6991609421000982,3462.89,0.8158635917566242,1662.73,2.3499116781158,4789.12,0.9364573110893032,1908.5,1.34301766437684,2737.07,20.50180569185476,41782.68,Brooklyn,Crown Heights North,Queens,LaGuardia Airport
2024-07-16,5,2864,42,138,False,6.590259427374302,18874.503,1051.5883379888269,3011749,26.982178770949723,77276.96,1.5399162011173184,4410.32,0.7832646648044692,2243.27,2.3061522346368712,6604.82,0.9822800279329608,2813.25,1.4966585195530728,4286.43,20.109280726256983,57592.98,Manhattan,Central Harlem North,Queens,LaGuardia Airport
2024-07-16,6,4772,132,138,False,5.845039186923722,27892.527,1124.783948030176,5367469,25.3428897736798,120936.27,1.251326487845767,5971.33,0.722661357921207,3448.54,2.1642854149203687,10327.97,1.1179798826487846,5335.0,1.209333612740989,5770.94,19.71896479463537,94098.9,Queens,JFK Airport,Queens,LaGuardia Airport
2024-07-16,7,7157,132,138,False,4.960191141539752,35500.088,1192.955987145452,8537986,24.42649154673746,174820.4,1.0783358949280424,7717.65,0.6877490568674026,4922.22,2.0498029900796424,14670.44,1.0681849937124497,7645.0,1.2294341204415258,8799.06,19.20775604303479,137469.91,Queens,JFK Airport,Queens,LaGuardia Airport
