datetime,service,total_rideshare_cost_mean,trip_count,trip_miles_mean,trip_time_mean,tips_mean,congestion_surcharge_mean,is_weekend_mode,temp,feelslike,precip,snow,windspeed,cloudcover,visibility,uvindex,conditions
2024-06-21 18:00:00,uber,50.81003353989651,31306,4.296321791349901,1240.758736344471,1.1007921804127003,1.0275745863412764,False,87,89,0.0,0.0,5,15,9,3,2
2024-06-21 19:00:00,uber,47.31669048218558,31772,4.28112426035503,1129.0641760040287,0.9740384615384616,1.1446399345335516,False,87,89,0.0,0.0,2,37,9,0,1
2024-06-21 20:00:00,uber,46.78806589864911,29166,4.488839402043475,1096.987931152712,0.9389631763011724,1.1612579716107796,False,83,87,0.0,0.0,5,15,9,0,2
2024-06-21 21:00:00,uber,48.726443043674024,28873,4.78669379697295,1119.727530911232,1.0069919994458492,1.153647005853219,False,79,79,0.0,0.0,6,15,9,0,2
2024-06-21 22:00:00,uber,50.115766094758385,31765,4.966218164646624,1148.7239099637966,1.0430675271525265,1.1880607586966787,False,78,78,0.0,0.0,6,15,9,0,2
2024-06-21 23:00:00,uber,50.108082976600485,31069,5.032432971772506,1136.6564421127168,0.9515912967910136,1.1645209050822365,False,78,78,0.0,0.0,4,15,9,0,2
2024-06-22 00:00:00,uber,49.749142953929535,26568,5.208881361035832,1118.4138060825053,0.8444369165913881,1.132132640770852,False,78,78,0.0,0.0,5,37,9,0,1
2024-06-22 01:00:00,uber,47.61747661274606,20524,5.124679886961606,1038.8131943091016,0.7443592866887546,1.1904599493276165,False,76,76,0.0,0.0,1,15,9,0,2
2024-06-22 02:00:00,uber,48.719575918212804,15846,5.448883629938154,1031.618073961883,0.745322478859018,1.1575160923892465,False,77,77,0.0,0.0,0,15,9,0,2
2024-06-22 03:00:00,uber,48.80045490059902,11519,5.700152791040889,1013.8169980032987,0.7120253494226929,1.0842086986717596,False,78,78,0.0,0.0,1,56,9,0,1
2024-06-22 04:00:00,uber,53.32320825515947,9061,6.464532612294448,1034.5890078357795,0.861752565941949,0.8976658205496082,False,78,78,0.0,0.0,0,77,9,0,1
2024-06-22 05:00:00,uber,54.70327293754819,7782,7.142974813672577,1048.602801336417,1.036147519917759,0.8157607298894886,False,76,76,0.0,0.0,4,37,9,0,1
2024-06-22 06:00:00,uber,52.715121176003194,10068,6.841156138259833,1036.796086611045,1.045299960270163,0.8943682955899881,False,76,76,0.0,0.0,1,37,8,0,1
2024-06-22 07:00:00,uber,51.42613025277733,12422,6.366753340846884,1031.6655933022057,1.114281919175656,0.886109322170343,False,77,77,0.0,0.0,1,15,8,1,2
2024-06-22 08:00:00,uber,48.09839280115382,15947,5.541153822035493,1025.962626199285,1.040613281494952,0.9497240860349908,False,78,78,0.0,0.0,1,37,9,2,1
2024-06-22 09:00:00,uber,46.63037493005037,19657,4.94626850485832,1027.2077631378136,1.058502823421682,0.9967823167319528,False,80,83,0.0,0.0,1,15,9,4,2
2024-06-22 10:00:00,uber,47.252616255917886,22601,4.718722622892793,1075.6499269943808,1.1316499269943807,1.0614353347197027,False,82,86,0.0,0.0,1,15,9,7,2
2024-06-22 11:00:00,uber,48.67530726256983,24881,4.575471243117238,1130.3772356416544,1.2403086692657048,1.1252461717776616,False,86,90,0.0,0.0,1,15,9,8,2
2024-06-22 12:00:00,uber,49.92440829070118,26584,4.54124849533554,1172.456289497442,1.2506477580499549,1.1386830424315375,False,89,94,0.0,0.0,0,15,9,9,2
2024-06-22 13:00:00,uber,51.323605212530396,27549,4.578273984536644,1210.7044538821735,1.2804058223528985,1.115131220733965,False,92,97,0.0,0.0,3,15,9,10,2
2024-06-22 14:00:00,uber,51.899644952039196,28982,4.593034297149956,1242.3049478986957,1.1719377544682903,1.0797909046994687,False,90,96,0.0,0.0,13,15,8,4,2
2024-06-22 15:00:00,uber,51.4376226506357,28944,4.638305348258706,1264.122857932559,1.143887506909895,1.1020677860696515,False,82,87,0.049,0.0,12,56,8,8,4
2024-06-22 16:00:00,uber,51.74687497845645,29011,4.644661680052394,1269.688635345214,1.1710820033780291,1.0696890834511048,False,84,91,0.0,0.0,4,15,8,2,2
2024-06-22 17:00:00,uber,51.41260550996483,30708,4.653760909209327,1256.0197342711997,1.198364269897095,1.147559267943207,False,78,78,0.065,0.0,6,37,6,2,4
2024-06-22 18:00:00,uber,49.41877456576064,32413,4.569548946410391,1200.473544565452,1.1207348903217844,1.1832366643013603,False,80,82,0.0,0.0,0,15,9,2,2
2024-06-22 19:00:00,uber,46.70156265743074,31760,4.372380037783375,1139.4315176322418,0.9707830604534003,1.1902786523929472,False,80,84,0.0,0.0,1,15,9,0,2
2024-06-22 20:00:00,uber,47.46613959891124,31963,4.43655101210775,1152.460469918343,0.9346413040077588,1.1671854957294372,False,82,85,0.0,0.0,1,37,9,0,1
2024-06-22 21:00:00,uber,50.96338115871332,34849,4.485743349880916,1169.267783867543,0.9974828546012796,1.1767052139229246,False,78,78,0.0,0.0,1,88,7,0,1
2024-06-22 22:00:00,uber,53.926567755301,32824,4.973113575432611,1233.3084937850354,1.058069705093834,1.1452062515232757,False,76,76,0.0,0.0,1,37,8,0,1
2024-06-22 23:00:00,uber,55.555928420002495,32076,5.099970382840753,1223.9555119092156,0.9734524254894624,1.0865288689362764,False,76,76,0.0,0.0,0,15,8,0,2
2024-06-23 00:00:00,uber,53.47951005155531,28901,5.263310958098336,1119.3236566208782,0.8991225217120515,1.061269506245459,True,75,75,0.0,0.0,0,37,8,0,1
2024-06-23 01:00:00,uber,48.86543251831583,22658,5.3328722746932655,1039.829464206903,0.7637651160737929,1.0842638361726542,True,76,76,0.01,0.0,3,37,9,0,4
2024-06-23 02:00:00,uber,50.76926419866636,17396,5.65816624511382,1031.923660611635,0.7235818578983675,1.0668400781788916,True,74,74,0.0,0.0,4,37,9,0,1
2024-06-23 03:00:00,uber,56.379519208996896,13249,6.096683523284777,1050.9481470299645,0.7921458223262132,1.0352668125896294,True,74,74,0.0,0.0,5,56,9,0,1
2024-06-23 04:00:00,uber,60.03926841085271,10320,6.715135658914728,1067.2068798449611,0.9699757751937984,0.8621608527131783,True,73,73,0.0,0.0,5,15,8,0,2
2024-06-23 05:00:00,uber,57.6172279114075,8398,7.292358894974995,1065.5475113122172,1.0715122648249582,0.8234996427720886,True,73,73,0.0,0.0,5,15,7,0,2
2024-06-23 06:00:00,uber,55.497379452762004,9685,7.191105833763552,1039.6665978316985,1.0690913784202374,0.9010325245224574,True,72,72,0.0,0.0,3,37,6,0,1
2024-06-23 07:00:00,uber,51.160040603760265,11329,6.499333568717451,984.286079971754,1.084513196222085,0.9472592461823638,True,74,74,0.0,0.0,1,37,7,1,1
2024-06-23 08:00:00,uber,49.828603815937136,13365,5.996918069584736,976.1554059109616,1.132094276094276,1.0067153011597456,True,77,77,0.0,0.0,5,15,9,3,2
2024-06-23 09:00:00,uber,48.27482744737145,17386,5.421225123662717,987.4672150005752,1.175507304727942,1.038349821695617,True,79,79,0.0,0.0,7,37,9,2,1
2024-06-23 10:00:00,uber,48.02635313300722,21465,5.046013976240391,1018.9504775215468,1.2051003959934776,1.0673072443512694,True,81,85,0.0,0.0,5,56,9,5,1
2024-06-23 11:00:00,uber,49.59920760628345,22981,4.9658026195552845,1093.186371350246,1.2407614986293023,1.085211696618946,True,84,91,0.0,0.0,5,15,9,4,2
2024-06-23 12:00:00,uber,51.48292994949077,24154,4.951931357125114,1154.6485468245426,1.2762167756893268,1.1212428583257432,True,86,93,0.0,0.0,11,15,9,5,2
